English,Hindi,Romanized_Hindi,Telugu
It could be the biggest mistake you ever make.,यह तुम्हारी अब तक की सबसे बड़ी गलती हो सकती है।,Yeh tumhari ab tak ki sabse badi galti ho sakti hai.,ఇది నువ్వు చేసే అతి పెద్ద తప్పు కావచ్చు.
We have group fitness classes.,हमारे यहाँ ग्रुप फिटनेस क्लास होती हैं।,Hamare yahan group fitness class hoti hain.,మా దగ్గర గ్రూప్ ఫిట్‌నెస్ క్లాసులు ఉన్నాయి.
"One day, maybe, she'd be interested, but not right now.","शायद किसी दिन, उसे दिलचस्पी हो, लेकिन अभी नहीं।","Shayad kisi din, use dilchaspi ho, lekin abhi nahi.","బహుశా ఏదో ఒక రోజు ఆమె ఆసక్తి చూపవచ్చు, కానీ ఇప్పుడు కాదు."
I thought about possibly taking it over myself.,मैंने सोचा कि शायद इसे मैं खुद संभाल लूँ।,Maine socha ki shayad ise main khud sambhal loon.,బహుశా నేనే దీనిని బాధ్యతగా తీసుకుందామని అనుకున్నాను.
The woman wasn't replying to her emails.,वह महिला उसके ईमेल का जवाब नहीं दे रही थी।,Vah mahila uske email ka jawab nahi de rahi thi.,ఆ మహిళ ఆమె ఈమెయిల్‌లకు సమాధానం ఇవ్వడం లేదు.
Tom had big money problems.,टॉम को पैसों की बड़ी समस्याएँ थीं।,Tom ko paison ki badi samasyaen thin.,టామ్‌కు పెద్ద ఆర్థిక సమస్యలు ఉన్నాయి.
They saw giraffes.,उन्होंने जिराफ़ देखे।,Unhone giraffe dekhe.,వారు జిరాఫీలను చూశారు.
I’ve asked you a thousand times not to leave your dirty socks on the floor.,मैंने तुमसे हज़ार बार कहा है कि अपने गंदे मोज़े ज़मीन पर मत छोड़ा करो।,Maine tumse hazaar baar kaha hai ki apne gande moze zameen par mat chhoda karo.,నీ మురికి సాక్సులను నేల మీద పడేయవద్దని నేను నీకు వెయ్యి సార్లు చెప్పాను.
It is very useful to listen to Lesson One again.,पहला पाठ फिर से सुनना बहुत उपयोगी है।,Pehla paath phir se sunna bahut upyogi hai.,మొదటి పాఠాన్ని మళ్ళీ వినడం చాలా ఉపయోగకరం.
I could be proposing next week.,हो सकता है कि मैं अगले हफ़्ते प्रपोज़ कर दूँ।,Ho sakta hai ki main agle hafte propose kar doon.,నేను వచ్చే వారం ప్రపోజ్ చేయవచ్చు.
I’m reconsidering my decision to get such an expensive car.,मैं इतनी महँगी कार लेने के अपने फ़ैसले पर फिर से विचार कर रहा हूँ।,Main itni mehngi car lene ke apne faisle par phir se vichaar kar raha hoon.,అంత ఖరీదైన కారు కొనాలనే నా నిర్ణయాన్ని నేను మళ్ళీ ఆలోచిస్తున్నాను.
He snuck into the house after midnight to investigate.,वह जाँच करने के लिए आधी रात के बाद चुपके से घर में घुस गया।,Vah jaanch karne ke liye aadhi raat ke baad chupke se ghar mein ghus gaya.,అతను దర్యాప్తు చేయడానికి అర్ధరాత్రి తర్వాత రహస్యంగా ఇంట్లోకి ప్రవేశించాడు.
Tom recognized three of the names on the list.,टॉम ने सूची में से तीन नामों को पहचान लिया।,Tom ne soochi mein se teen naamon ko pehchaan liya.,జాబితాలోని మూడు పేర్లను టామ్ గుర్తించాడు.
"The bike shop had special bike racks out front, which were shaped like bicycle wheels.","बाइक की दुकान के सामने विशेष बाइक रैक थे, जो साइकिल के पहियों के आकार के थे।","Bike ki dukaan ke saamne vishesh bike rack the, jo cycle ke pahiyon ke aakaar ke the.","బైక్ షాప్ ముందు ప్రత్యేకమైన బైక్ రాక్‌లు ఉన్నాయి, అవి సైకిల్ చక్రాల ఆకారంలో ఉన్నాయి."
I want to be married.,मैं शादी करना चाहता हूँ।,Main shaadi karna chahta hoon.,నేను వివాహం చేసుకోవాలనుకుంటున్నాను.
She hated the taste of butter so much that it made her gag.,उसे मक्खन का स्वाद इतना नापसंद था कि उसे उल्टी जैसी महसूस होने लगती थी।,Use makkhan ka swaad itna naapasand tha ki use ulti jaisi mehsoos hone lagti thi.,"ఆమెకు వెన్న రుచి అంటే ఎంత అసహ్యం అంటే, అది తింటే ఆమెకు వాంతులు వచ్చేవి."
We are starting to enter a new chapter.,हम एक नए अध्याय में प्रवेश करने जा रहे हैं।,Hum ek naye adhyaay mein pravesh karne ja rahe hain.,మేము ఒక కొత్త అధ్యాయంలోకి ప్రవేశించడం ప్రారంభిస్తున్నాము.
"You’ll get a chance to come closer to nature, meet lots of different animals, birds, and plants.","आपको प्रकृति के करीब आने, और कई तरह के जानवरों, पक्षियों और पौधों से मिलने का मौका मिलेगा।","Aapko prakriti ke kareeb aane, aur kai tarah ke jaanwaron, pakshiyon aur paudhon se milne ka mauka milega.","మీకు ప్రకృతికి దగ్గరయ్యే అవకాశం, అలాగే ఎన్నో రకాల జంతువులు, పక్షులు మరియు మొక్కలను చూసే అవకాశం లభిస్తుంది."
"When you enter a room, smile and say hello.","जब आप किसी कमरे में प्रवेश करें, तो मुस्कुराएं और नमस्ते कहें।","Jab aap kisi kamre mein pravesh karein, toh muskurayein aur namaste kahein.","మీరు గదిలోకి ప్రవేశించినప్పుడు, చిరునవ్వుతో పలకరించండి."
You need to look at the big picture here.,आपको यहाँ बड़ी तस्वीर देखने की ज़रूरत है।,Aapko yahan badi tasveer dekhne ki zaroorat hai.,మీరు ఇక్కడ పెద్ద చిత్రాన్ని (మొత్తం పరిస్థితిని) చూడాలి.
Yesterday's board meeting was a big success.,कल की बोर्ड मीटिंग बहुत सफल रही।,Kal ki board meeting bahut safal rahi.,నిన్న జరిగిన బోర్డు సమావేశం ఘనవిజయం సాధించింది.
He recommended the scary book to me.,उसने मुझे वह डरावनी किताब पढ़ने की सलाह दी।,Usne mujhe vah daravani kitaab padhne ki salah di.,అతను నాకు ఆ భయానక పుస్తకాన్ని సిఫార్సు చేశాడు.
I had to check Facebook to figure out her last name.,मुझे उसका उपनाम पता करने के लिए फेसबुक चेक करना पड़ा।,Mujhe uska upnaam pata karne ke liye Facebook check karna pada.,ఆమె ఇంటిపేరు తెలుసుకోవడానికి నేను ఫేస్‌బుక్ చూడాల్సి వచ్చింది.
He used a big piece of paper to make the bag.,उसने बैग बनाने के लिए कागज के एक बड़े टुकड़े का इस्तेमाल किया।,Usne bag banane ke liye kagaz ke ek bade tukde ka istemaal kiya.,అతను బ్యాగ్ తయారు చేయడానికి పెద్ద కాగితాన్ని ఉపయోగించాడు.
They painted the coffee shop ceiling black.,उन्होंने कॉफी शॉप की छत को काला रंग दिया।,Unhone coffee shop ki chhat ko kala rang diya.,వారు కాఫీ షాప్ పైకప్పుకు నలుపు రంగు వేశారు.
I expect to be there this evening.,मुझे उम्मीद है कि मैं आज शाम वहाँ पहुँच जाऊँगा।,Mujhe ummeed hai ki main aaj shaam vahan pahunch jaunga.,నేను ఈ సాయంత్రం అక్కడికి చేరుకుంటానని ఆశిస్తున్నాను.
We generally sing songs all together.,हम आमतौर पर सब मिलकर गाने गाते हैं।,Hum aamtaur par sab milkar gaane gaate hain.,మేము సాధారణంగా అందరం కలిసి పాటలు పాడుతాము.
She felt bad about constantly complaining about her friends but they were driving her insane.,"उसे अपने दोस्तों की लगातार शिकायत करने पर बुरा लग रहा था, लेकिन वे उसे पागल कर रहे थे।","Use apne doston ki lagatar shikayat karne par bura lag raha tha, lekin ve use pagal kar rahe the.","తన స్నేహితుల గురించి నిరంతరం ఫిర్యాదు చేయడం ఆమెకు బాధ కలిగించింది, కానీ వారు ఆమెను పిచ్చివాళ్లను చేస్తున్నారు."
"She sat next to a mom with a baby on the train, and the baby threw up on her.","वह ट्रेन में एक बच्चे के साथ बैठी माँ के बगल में बैठी थी, और बच्चे ने उस पर उल्टी कर दी।","Vah train mein ek bachche ke sath baithi maa ke bagal mein baithi thi, aur bachche ne us par ulti kar di.","ఆమె రైలులో ఒక చిన్న పిల్లాడితో ఉన్న తల్లి పక్కన కూర్చుంది, ఆ పిల్లాడు ఆమెపై వాంతి చేసుకున్నాడు."
He wanted to go for a walk but it was too cold to go outside.,वह टहलने जाना चाहता था लेकिन बाहर बहुत ठंड थी।,Vah tahalne jana chahta tha lekin bahar bahut thand thi.,అతను నడవడానికి వెళ్లాలనుకున్నాడు కానీ బయట చాలా చలిగా ఉంది.
"In Japan, there is no lake bigger than Lake Biwa.","जापान में, बीवा झील से बड़ी कोई झील नहीं है।","Japan mein, Biwa jheel se badi koi jheel nahi hai.","జపాన్‌లో, బివా సరస్సు కంటే పెద్ద సరస్సు ఏదీ లేదు."
I'm always late and I don't care.,मैं हमेशा देर से आता हूँ और मुझे इसकी परवाह नहीं है।,Main hamesha der se aata hoon aur mujhe iski parvah nahi hai.,నేను ఎప్పుడూ ఆలస్యంగా వస్తాను మరియు నాకు అస్సలు పట్టింపు లేదు.
Grief is a ritual.,दुःख एक अनुष्ठान है।,Dukh ek anushthan hai.,దుఃఖం ఒక ఆచారం.
Peter ate french fries.,पीटर ने फ्रेंच फ्राइज़ खाई।,Peter ne french fries khai.,పీటర్ ఫ్రెంచ్ ఫ్రైస్ తిన్నాడు.
"It's a big country, Tom.","यह एक बड़ा देश है, टॉम।","Yeh ek bada desh hai, Tom.","ఇది చాలా పెద్ద దేశం, టామ్."
"She got Taco Bell for lunch to try to cheer herself up, but it only made her more upset.","उसने खुद को खुश करने के लिए दोपहर के भोजन में टैको बेल लिया, लेकिन इससे वह और अधिक परेशान हो गई।","Usne khud ko khush karne ke liye dopahar ke bhojan mein Taco Bell liya, lekin isse vah aur adhik pareshan ho gayi.","ఆమె తన మూడ్‌ని బాగు చేసుకోవడానికి లంచ్‌కి టాకో బెల్ తెప్పించుకుంది, కానీ అది ఆమెను మరింత బాధపెట్టింది."
There's a big bottle of aspirin in the medicine cabinet.,दवाओं की अलमारी में एस्पिरिन की एक बड़ी बोतल है।,Davaon ki almari mein aspirin ki ek badi botal hai.,మెడిసిన్ క్యాబినెట్‌లో ఆస్పిరిన్ పెద్ద బాటిల్ ఉంది.
The clock was ticking and kept me awake all night.,घड़ी की टिक-टिक ने मुझे पूरी रात जगाए रखा।,Ghadi ki tik-tik ne mujhe poori raat jagaye rakha.,గడియారం టిక్ టిక్ మంటూ నన్ను రాత్రంతా నిద్రపోనివ్వలేదు.
Judith Jarvis Thompson is the best philosopher of all time.,जूडिथ जार्विस थॉम्पसन अब तक की सबसे बेहतरीन दार्शनिक हैं।,Judith Jarvis Thompson ab tak ki sabse behtareen darshanik hain.,జూడిత్ జార్విస్ థాంప్సన్ అన్ని కాలాలలోకెల్లా అత్యుత్తమ తత్వవేత్త.
He said the telegram had arrived at noon.,उसने कहा कि टेलीग्राम दोपहर में आ गया था।,Usne kaha ki telegram dopahar mein aa gaya tha.,టెలిగ్రామ్ మధ్యాహ్నమే వచ్చిందని అతను చెప్పాడు.
"She liked the wallpaper in her room, but her mom insisted they remove it and put up paint instead.","उसे अपने कमरे का वॉलपेपर पसंद था, लेकिन उसकी माँ ने जोर दिया कि वे इसे हटाकर पेंट करवा लें।","Use apne kamre ka wallpaper pasand tha, lekin uski maa ne zor diya ki ve ise hatakar paint karva lein.","ఆమెకు తన గదిలోని వాల్‌పేపర్ నచ్చింది, కానీ ఆమె తల్లి దాన్ని తీసేసి పెయింట్ వేయించాలని పట్టుబట్టింది."
He was a horrible dancer.,वह बहुत बुरा डांसर था।,Vah bahut bura dancer tha.,అతను చాలా చెత్తగా డ్యాన్స్ చేసేవాడు.
"That's a great job, Kimberly.","यह बहुत अच्छा काम है, किम्बर्ली।","Yeh bahut achha kaam hai, Kimberly.","అది చాలా గొప్ప పని, కింబర్లీ."
I don't care how long your socks are.,मुझे परवाह नहीं है कि तुम्हारे मोज़े कितने लंबे हैं।,Mujhe parvah nahi hai ki tumhare moze kitne lambe hain.,నీ సాక్సులు ఎంత పొడవు ఉన్నాయో నాకు అనవసరం.
Aluminum helps to keep your food fresh for longer.,एल्युमीनियम आपके भोजन को लंबे समय तक ताज़ा रखने में मदद करता है।,Aluminum aapke bhojan ko lambe samay tak taza rakhne mein madad karta hai.,అల్యూమినియం మీ ఆహారాన్ని ఎక్కువ కాలం తాజాగా ఉంచడానికి సహాయపడుతుంది.
Technology makes us forget our past.,तकनीक हमें अपना अतीत भुला देती है।,Takneek humein apna ateet bhula deti hai.,సాంకేతికత మన గతాన్ని మర్చిపోయేలా చేస్తోంది.
"At the coffee shop, she couldn't tell if they were annoyed with her or not.","कॉफी शॉप पर, वह समझ नहीं पा रही थी कि वे उससे परेशान थे या नहीं।","Coffee shop par, vah samajh nahi pa rahi thi ki ve usse pareshan the ya nahi.","కాఫీ షాపులో, వారు తనపై విసుగ్గా ఉన్నారో లేదో ఆమెకు అర్థం కాలేదు."
I accidentally left my money in my pants pocket and it got ruined in the washer.,मैंने गलती से अपने पैसे पैंट की जेब में छोड़ दिए थे और वे वॉशिंग मशीन में खराब हो गए।,Maine galti se apne paise pant ki jeb mein chhod diye the aur ve washing machine mein kharab ho gaye.,"నేను పొరపాటున నా డబ్బును ప్యాంటు జేబులోనే వదిలేశాను, అది వాషింగ్ మెషీన్‌లో పాడైపోయింది."
"The girl had very long, very pretty hair and round glasses.",उस लड़की के बाल बहुत लंबे और बहुत सुंदर थे और उसने गोल चश्मा पहना था।,Us ladki ke baal bahut lambe aur bahut sundar the aur usne gol chashma pehna tha.,"ఆ అమ్మాయికి చాలా పొడవైన, అందమైన జుట్టు మరియు గుండ్రని కళ్లద్దాలు ఉన్నాయి."
Chocolate covered crickets were his favorite snack.,चॉकलेट में लिपटे झींगुर उसका पसंदीदा नाश्ता थे।,Chocolate mein lipte jhingur uska pasandida nashta the.,చాక్లెట్ కప్పబడిన మిడతలు అతని ఇష్టమైన చిరుతిండి.
"The secret code they created made no sense, even to them.","उन्होंने जो गुप्त कोड बनाया था, उसका कोई मतलब नहीं था, यहाँ तक कि उन्हें भी समझ नहीं आया।","Unhone jo gupt code banaya tha, uska koi matlab nahi tha, yahan tak ki unhe bhi samajh nahi aaya.","వారు సృష్టించిన రహస్య కోడ్‌కు ఎటువంటి అర్థం లేదు, అది వారికి కూడా అర్థం కాలేదు."
"Three years later, the coffin was still full of Jello.","तीन साल बाद भी, ताबूत जेली से भरा हुआ था।","Teen saal baad bhi, taboot jelly se bhara hua tha.","మూడేళ్ల తర్వాత కూడా, శవపేటిక జెల్లీతో నిండి ఉంది."
His mind was blown that there was nothing in space except space itself.,वह यह जानकर हैरान रह गया कि अंतरिक्ष में अंतरिक्ष के अलावा कुछ भी नहीं है।,Vah yeh jaankar hairan reh gaya ki antariksh mein antariksh ke alava kuch bhi nahi hai.,అంతరిక్షంలో అంతరిక్షం తప్ప మరేమీ లేదని తెలిసి అతను ఆశ్చర్యపోయాడు.
They're playing the piano while flying in the plane.,वे हवाई जहाज में उड़ते समय पियानो बजा रहे हैं।,Ve hawai jahaz mein udte samay piano baja rahe hain.,వారు విమానంలో ప్రయాణిస్తున్నప్పుడు పియానో వాయిస్తున్నారు.
The hand sanitizer was actually clear glue.,हैंड सैनिटाइज़र असल में पारदर्शी गोंद था।,Hand sanitizer asal mein pardarshi gond tha.,హ్యాండ్ శానిటైజర్ నిజానికి పారదర్శకమైన జిగురు.
The lyrics of the song sounded like fingernails on a chalkboard.,गाने के बोल ऐसे लग रहे थे जैसे ब्लैकबोर्ड पर नाखून रगड़े जा रहे हों।,Gaane ke bol aise lag rahe the jaise blackboard par nakhun ragde ja rahe hon.,ఆ పాటలోని సాహిత్యం బ్లాక్‌బోర్డ్‌పై గోళ్లతో గీకినట్లుగా అనిపించింది.
It took him a month to finish the meal.,उसे खाना खत्म करने में एक महीना लग गया।,Use khana khatam karne mein ek mahina lag gaya.,ఆ భోజనాన్ని పూర్తి చేయడానికి అతనికి ఒక నెల పట్టింది.
"Seek success, but always be prepared for random cats.","सफलता की तलाश करें, लेकिन हमेशा अचानक आने वाली बिल्लियों के लिए तैयार रहें।","Safalta ki talash karein, lekin hamesha achanak aane wali billiyon ke liye taiyaar rahein.","విజయం కోసం ప్రయత్నించండి, కానీ ఎప్పుడూ అకస్మాత్తుగా వచ్చే పిల్లుల కోసం సిద్ధంగా ఉండండి."
Having no hair made him look even hairier.,बाल न होने के कारण वह और भी अधिक बालों वाला लग रहा था।,Baal na hone ke karan vah aur bhi adhik baalon vala lag raha tha.,జుట్టు లేకపోవడం వల్ల అతను ఇంకా ఎక్కువ జుట్టు ఉన్నవాడిలా కనిపించాడు.
He poured rocks in the dungeon of his mind.,उसने अपने मन की कालकोठरी में पत्थर डाल दिए।,Usne apne mann ki kaalkothri mein patthar daal diye.,అతను తన మనస్సు అనే చెరసాలలో రాళ్లను పోశాడు.
The blue parrot drove by the hitchhiking mongoose.,नीला तोता लिफ्ट मांग रहे नेवले के पास से गाड़ी चलाकर गुजरा।,Neela tota lift maang rahe nevle ke paas se gaadi chalakar guzra.,నీలిరంగు చిలుక లిఫ్ట్ అడుగుతున్న ముంగిస పక్కనుండి కారులో వెళ్ళింది.
Happiness can be found in the depths of chocolate pudding.,खुशी चॉकलेट पुडिंग की गहराइयों में पाई जा सकती है।,Khushi chocolate pudding ki gehraiyon mein payi ja sakti hai.,చాక్లెట్ పుడ్డింగ్ లోతుల్లో ఆనందాన్ని కనుగొనవచ్చు.
There are no heroes in a punk rock band.,पंक रॉक बैंड में कोई नायक नहीं होते।,Punk rock band mein koi nayak nahi hote.,పంక్ రాక్ బ్యాండ్‌లో హీరోలు ఎవరూ ఉండరు.
He shaved the peach to prove a point.,उसने अपनी बात साबित करने के लिए आड़ू को छील दिया।,Usne apni baat saabit karne ke liye aadoo ko chheel diya.,తన వాదనను నిరూపించడానికి అతను పీచు పండును గీకేశాడు.
"Peanuts don't grow on trees, but cashews do.","मूंगफली पेड़ों पर नहीं उगती, लेकिन काजू उगते हैं।","Moongfali pedon par nahi ugti, lekin kaju ugte hain.","వేరుశెనగలు చెట్లపై పండవు, కానీ జీడిపప్పు పండుతుంది."
It's difficult to understand the lengths he'd go to remain short.,"छोटा बने रहने के लिए वह किस हद तक जा सकता है, यह समझना मुश्किल है।","Chhota bane rehne ke liye vah kis had tak ja sakta hai, yeh samajhna mushkil hai.",పొట్టిగా ఉండటానికి అతను ఎంతటి ప్రయత్నాలు చేస్తాడో అర్థం చేసుకోవడం కష్టం.
He created a pig burger out of beef.,उसने बीफ से पिग बर्गर बनाया।,Usne beef se pig burger banaya.,అతను బీఫ్‌తో పిగ్ బర్గర్‌ను తయారు చేశాడు.
His thought process was on so many levels that he gave himself a phobia of heights.,उसकी सोचने की प्रक्रिया इतने स्तरों पर थी कि उसे ऊंचाइयों से डर लगने लगा।,Uski sochne ki prakriya itne staron par thi ki use unchaiyon se dar lagne laga.,అతని ఆలోచనా విధానం చాలా స్థాయిలలో ఉండటం వల్ల అతనికి ఎత్తు అంటే భయం మొదలైంది.
He liked to play with words in the bathtub.,उसे बाथटब में शब्दों के साथ खेलना पसंद था।,Use bathtub mein shabdon ke saath khelna pasand tha.,అతనికి బాత్‌టబ్‌లో ఉన్నప్పుడు పదాలతో ఆడుకోవడం ఇష్టం.
There were three sphered rocks congregating in a cubed room.,एक घनाकार कमरे में तीन गोलाकार चट्टानें इकट्ठी थीं।,Ek ghanakar kamre mein teen golakar chattanein ikatthi thin.,ఒక ఘనాకార గదిలో మూడు గోళాకారపు రాళ్లు గుమిగూడి ఉన్నాయి.
There was no telling what thoughts would come from the machine.,यह बताना मुश्किल था कि मशीन से क्या विचार आएंगे।,Yeh batana mushkil tha ki machine se kya vichar aayenge.,ఆ యంత్రం నుండి ఎలాంటి ఆలోచనలు వస్తాయో చెప్పలేము.
He put heat on the wound to see what would grow.,उसने घाव पर गर्मी दी ताकि देख सके कि क्या उगता है।,Usne ghav par garmi di taki dekh sake ki kya ugta hai.,ఏమి పెరుగుతుందో చూడటానికి అతను గాయంపై వేడిని ఉంచాడు.
She used her own hair in the soup to give it more flavor.,उसने सूप में स्वाद बढ़ाने के लिए अपने ही बालों का इस्तेमाल किया।,Usne soup mein swad badhane ke liye apne hi baalon ka istemaal kiya.,సూప్‌కు మరింత రుచిని ఇవ్వడానికి ఆమె తన సొంత జుట్టును అందులో వేసింది.
Sometimes you have to just give up and win by cheating.,कभी-कभी आपको बस हार मान लेनी चाहिए और धोखाधड़ी करके जीतना चाहिए।,Kabhi-kabhi aapko bas haar maan leni chahiye aur dhokhadhadi karke jeetna chahiye.,కొన్నిసార్లు మీరు వదిలేసి మోసం చేసి గెలవాల్సి ఉంటుంది.
She was amazed by the large chunks of ice washing up on the beach.,वह समुद्र तट पर बहकर आए बर्फ के बड़े टुकड़ों को देखकर हैरान थी।,Vah samudra tat par behkar aaye barf ke bade tukdon ko dekhkar hairan thi.,సముద్ర తీరానికి కొట్టుకొచ్చిన మంచు ముక్కలను చూసి ఆమె ఆశ్చర్యపోయింది.
Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.,"गैरी को समझ नहीं आया कि जब उसने डग को गाय पलटने के लिए बुलाया, तो वह एक डॉलर के नोट लेने ऊपर क्यों गया।","Gary ko samajh nahi aaya ki jab usne Doug ko gaay palatne ke liye bulaya, toh vah ek dollar ke note lene upar kyon gaya.","డగ్‌ను ఆవులను పడగొట్టడానికి రమ్మని పిలిచినప్పుడు, అతను ఒక డాలర్ నోట్ల కోసం పైకి ఎందుకు వెళ్లాడో గ్యారీకి అర్థం కాలేదు."
The beach was crowded with snow leopards.,समुद्र तट हिम तेंदुओं से भरा हुआ था।,Samudra tat him tenduon se bhara hua tha.,సముద్ర తీరం మంచు చిరుతపులులతో నిండిపోయింది.
"As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled.","जैसे ही क्षुद्रग्रह पृथ्वी की ओर बढ़ा, बेकी इस बात से परेशान थी कि उसकी डेंटिस्ट की अपॉइंटमेंट रद्द हो गई थी।","Jaise hi kshudragrah prithvi ki or badha, Becky is baat se pareshan thi ki uski dentist ki appointment radd ho gayi thi.","గ్రహశకలం భూమి వైపు దూసుకువస్తుండగా, తన డెంటిస్ట్ అపాయింట్‌మెంట్ రద్దయినందుకు బెక్కీ చాలా బాధపడింది."
She looked at the masterpiece hanging in the museum but all she could think is that her five-year-old could do better.,"उसने संग्रहालय में लटकी उत्कृष्ट कृति को देखा, लेकिन वह बस यही सोच रही थी कि उसका पाँच साल का बच्चा इससे बेहतर कर सकता है।","Usne sangrahalaya mein latki utkrisht kriti ko dekha, lekin vah bas yahi soch rahi thi ki uska paanch saal ka bachcha isse behtar kar sakta hai.","మ్యూజియంలో వేలాడుతున్న ఆ అద్భుత కళాఖండాన్ని చూసి, తన ఐదేళ్ల బాబు అంతకంటే బాగా గీయగలడని ఆమె అనుకుంది."
The white water rafting trip was suddenly halted by the unexpected brick wall.,अचानक आई ईंट की दीवार के कारण व्हाइट वॉटर राफ्टिंग की यात्रा रुक गई।,Achanak aayi eent ki deewar ke karan white water rafting ki yatra ruk gayi.,అకస్మాత్తుగా అడ్డుగా వచ్చిన ఇటుక గోడ వల్ల వైట్ వాటర్ రాఫ్టింగ్ ప్రయాణం ఆగిపోయింది.
She always had an interesting perspective on why the world must be flat.,"दुनिया चपटी क्यों होनी चाहिए, इस पर उसका नज़रिया हमेशा दिलचस्प रहा है।","Duniya chapti kyon honi chahiye, is par uska nazariya hamesha dilchasp raha hai.",ప్రపంచం ఎందుకు చదునుగా ఉండాలి అనే దానిపై ఆమెకు ఎప్పుడూ ఆసక్తికరమైన అభిప్రాయం ఉండేది.
There are many things that confuse me about that.,ऐसी बहुत सी चीजें हैं जो मुझे उस बारे में उलझन में डालती हैं।,Aisi bahut si cheezein hain jo mujhe us baare mein uljhan mein daalti hain.,ఆ విషయంలో నన్ను అయోమయానికి గురిచేసే విషయాలు చాలా ఉన్నాయి.
He is my grandfather.,वह मेरे दादाजी हैं।,Vah mere dadaji hain.,ఆయన నా తాతయ్య.
You shouldn't go swimming after eating a big meal.,भरपेट खाना खाने के बाद आपको तैरने नहीं जाना चाहिए।,Bharpet khana khane ke baad aapko tairne nahi jaana chahiye.,భారీగా భోజనం చేసిన తర్వాత ఈత కొట్టడానికి వెళ్లకూడదు.
They have a big lunch and a small dinner.,वे दोपहर का खाना भारी और रात का खाना हल्का खाते हैं।,Ve dopahar ka khana bhaari aur raat ka khana halka khate hain.,"వారు మధ్యాహ్నం భారీగా, రాత్రి తక్కువగా భోజనం చేస్తారు."
She attended kindergarten in 2013.,उसने 2013 में किंडरगार्टन की पढ़ाई की थी।,Usne 2013 mein kindergarten ki padhai ki thi.,ఆమె 2013లో కిండర్ గార్టెన్ చదువుకుంది.
I’m taking a little road trip to Oklahoma City this morning.,मैं आज सुबह ओक्लाहोमा सिटी के लिए एक छोटी सी रोड ट्रिप पर जा रहा हूँ।,Main aaj subah Oklahoma City ke liye ek chhoti si road trip par ja raha hoon.,నేను ఈరోజు ఉదయం ఓక్లహోమా సిటీకి చిన్న రోడ్ ట్రిప్ వెళ్తున్నాను.
He admitted defeat.,उसने हार मान ली।,Usne haar maan li.,అతను ఓటమిని అంగీకరించాడు.
"You, as the maker, get to decide the design.","निर्माता के रूप में, डिज़ाइन तय करना आपका काम है।","Nirmata ke roop mein, design tay karna aapka kaam hai.","తయారీదారుగా, డిజైన్‌ను నిర్ణయించే అధికారం మీదే."
"She thought she was very special, and not like other girls.","उसे लगता था कि वह बहुत खास है, और दूसरी लड़कियों जैसी नहीं है।","Use lagta tha ki vah bahut khaas hai, aur dusri ladkiyon jaisi nahi hai.","తాను చాలా ప్రత్యేకమని, ఇతర అమ్మాయిల లాంటిదాన్ని కాదని ఆమె భావించింది."
The man at the coffeeshop had been sitting there alone for some time before he was joined by a very beautiful woman.,"कॉफ़ी शॉप में वह आदमी कुछ समय से अकेला बैठा था, इससे पहले कि एक बहुत सुंदर महिला उसके पास आकर बैठी।","Coffee shop mein vah aadmi kuch samay se akela baitha tha, isse pehle ki ek bahut sundar mahila uske paas aakar baithi.",కాఫీ షాపులో ఆ వ్యక్తి ఒక అందమైన మహిళ వచ్చి తనతో చేరడానికి ముందు కొంత సమయం ఒంటరిగా కూర్చున్నాడు.
I do not want to smoke.,मैं धूम्रपान नहीं करना चाहता।,Main dhoomrapan nahi karna chahta.,నేను ధూమపానం చేయాలనుకోవడం లేదు.
Those are big watermelons.,वे बड़े तरबूज हैं।,Ve bade tarbooj hain.,అవి పెద్ద పుచ్చకాయలు.
We shall devote today’s lesson to the study of the English verb ‘to get’.,हम आज का पाठ अंग्रेज़ी क्रिया 'टू गेट' के अध्ययन के लिए समर्पित करेंगे।,Hum aaj ka paath angrezi kriya 'to get' ke adhyayan ke liye samarpit karenge.,ఈరోజు పాఠాన్ని ఇంగ్లీష్ క్రియ 'టు గెట్' అధ్యయనానికి కేటాయిద్దాం.
There’s not much chance of that actually happening.,ऐसा वास्तव में होने की संभावना बहुत कम है।,Aisa vastav mein hone ki sambhavna bahut kam hai.,అది నిజంగా జరిగే అవకాశం చాలా తక్కువ.
You are more than just your shopping cart.,आप सिर्फ अपनी शॉपिंग कार्ट से कहीं बढ़कर हैं।,Aap sirf apni shopping cart se kahin badhkar hain.,మీరు మీ షాపింగ్ కార్ట్ కంటే ఎంతో ఎక్కువ.
